Official School Name,Latitude,Longitude,Enrollment
Coláiste Choilm,51.889646,-8.580323,1359
Nagle Community College,51.891283,-8.402976,276
Terence Mac Swiney Community College,51.904105,-8.503896,297
Coláiste Daibhéid,51.89369,-8.466806,194
Crana College,55.134984,-7.457677,574
Coláiste na Carraige,54.655322,-8.633111,234
Abbey Vocational School,54.648582,-8.112509,988
Errigal College,54.963152,-7.733617,480
Mulroy College,55.092693,-7.704289,607
Deele College,54.873891,-7.60333,779
Finn Valley College,54.807187,-7.775364,405
St. Catherine's Vocational School,54.639241,-8.437367,394
Gairm Scoil Chú Uladh,54.866204,-8.044476,109
Gairmscoil Mhic Diarmada,54.985237,-8.492998,72
Colaiste Cholmcille,53.244454,-9.39045,104
Clárin College,53.293103,-8.754475,1015
St Brigids College,53.195716,-8.559336,715
Coláiste an Chreagáin,53.460966,-8.48403,87
COLÁISTE NAOMH ÉINNE,53.125647,-9.671446,55
St Killian's College (Coláiste Chilleáin Naofa),53.300407,-8.488307,171
Coláiste Naomh Feichín,53.513811,-9.45129,70
Coláiste na Coiribe,53.269649,-9.123949,660
Coláiste Ghobnait,53.063328,-9.52281,40
Coláiste Na bPiarsach,53.386845,-9.610517,65
Archbishop McHale College,53.510474,-8.845331,422
Galway Community College,53.283283,-9.033399,386
Athlone Community College,53.424571,-7.920843,1173
Castlepollard Community College,53.674585,-7.305088,330
Columba College,53.51651,-7.139886,306
Mullingar Community College,53.524192,-7.334499,363
Clonaslee College,53.145489,-7.513791,229
Portlaoise College,53.035546,-7.313274,893
St Fergal's College,52.854399,-7.577095,341
Carrigallen Vocational School,53.979744,-7.647818,356
Lough Allen College,54.16929,-8.137099,178
Drumshanbo Vocational School,54.048534,-8.046404,425
Coláiste Abbáin,52.39272,-6.718883,435
Bridgetown College,52.22854,-6.549777,638
Bunclody Community College,52.6531,-6.651605,284
Enniscorthy Community College,52.509809,-6.585328,420
Coláiste an Átha,52.511678,-6.286493,367
Kennedy College,52.391005,-6.932853,202
Selskar College (Coláiste Sheilscire),52.341334,-6.467309,391
Ballymahon Vocational School,53.568407,-7.771838,430
Colaiste Mhuire,52.599762,-8.969576,304
Ardscoil Phadraig,53.776775,-7.504764,344
Lanesboro Community College,53.669211,-7.983288,272
Templemichael College,53.731749,-7.786257,347
Bush Post Primary School,53.99865,-6.188983,815
St Oliver's Community College,53.713743,-6.378764,1551
Ó Fiaich College,53.986296,-6.392364,289
